mnemonic,unit_name,inserted_at,updated_at
net_charge_offs_bnk,In Millions,5/4/18,5/4/18
net_charge_offs_net_loans_sa2_bnk,In percent,5/4/18,5/4/18
pll_net_charge_offs_bnk,In percent,5/4/18,5/4/18
Provisi,In percent,5/4/18,5/4/18
capital_charge,In Millions,5/4/18,5/4/18
td_liab,In Millions,5/4/18,5/4/18
non_oper_assets,NULL,5/4/18,5/4/18
inc_tax_bnk,In Millions,5/4/18,5/4/18
cash_acq,In Millions,5/4/18,5/4/18
mii_at_bnk,In percent,5/4/18,5/4/18
dvp_mii_at_bnk,In percent,5/4/18,5/4/18
iint_at_bnk,In Percent,5/4/18,5/4/18
mb_adj_bnk_cy,Ratio,5/4/18,5/4/18
mb_adj_bnk_fy,Ratio,5/4/18,5/4/18
xint_at_bnk,In Percent,5/4/18,5/4/18
rwa_at,In percent,5/4/18,5/4/18
revt_bank_rwa,In percent,5/4/18,5/4/18
revt_bank_emp,In percent,5/4/18,5/4/18
revt_bank_num_branches,In percent,5/4/18,5/4/18
commercial_loans,In Millions,5/4/18,5/4/18
commercial_mort_loans,In Millions,5/4/18,5/4/18
residential_mort_loans,In Millions,5/4/18,5/4/18
consumer_loans,In Millions,5/4/18,5/4/18
construction_loans,In Millions,5/4/18,5/4/18
vehicle_loans,In Millions,5/4/18,5/4/18
lease_finance,In Millions,5/4/18,5/4/18
other_loans,In Millions,5/4/18,5/4/18
total_loans,In Millions,5/4/18,5/4/18
total_deposits,In Millions,5/4/18,5/4/18
demand_dep,In Millions,5/4/18,5/4/18
saving_dep,In Millions,5/4/18,5/4/18
time_dep,In Millions,5/4/18,5/4/18
other_dep,In Millions,5/4/18,5/4/18
revt_aff_bnk,In Millions,5/4/18,5/4/18
revt_aff_at_bnk,In percent,5/4/18,5/4/18
pretax_ep,In Millions,5/4/18,5/4/18
zero,Not Applicable,5/4/18,5/4/18
mtaxr_a_usa,In Percent,5/4/18,5/4/18
cost_rev,In Millions,5/4/18,5/4/18
da,In Millions,5/4/18,5/4/18
da_cf,In Millions,5/4/18,5/4/18
gw_intan_amort_cf,In Millions,5/4/18,5/4/18
other_amort,In Millions,5/4/18,5/4/18
cost_at_bnk,In Percent,5/4/18,5/4/18
avg_ie_asset_at_bnk,In Percent,5/4/18,5/4/18
avg_ib_liab_at_bnk,In Percent,5/4/18,5/4/18
revt_bank_fy0,In Millions,5/4/18,5/4/18
revt_bank_fy1,In Millions,5/4/18,5/4/18
revt_bank_fy2,In Millions,5/4/18,5/4/18
prev_revt_bank_fy0,In Millions,5/4/18,5/4/18
ni_adj_bnk_fy0,In Millions,5/4/18,5/4/18
ni_adj_bnk_fy1,In Millions,5/4/18,5/4/18
ni_adj_bnk_fy2,In Millions,5/4/18,5/4/18
prev_ni_adj_bnk_fy0,In Millions,5/4/18,5/4/18
oper_taxrate_7yr,In Percent,5/4/18,5/4/18
ni_marg_bnk_fy0,In Percent,5/4/18,5/4/18
ni_marg_bnk_fy1,In Percent,5/4/18,5/4/18
ni_marg_bnk_fy2,In Percent,5/4/18,5/4/18
prev_ni_marg_bnk_fy0,In Percent,5/4/18,5/4/18
roae_bnk_fy0,In Percent,5/4/18,5/4/18
roae_bnk_fy1,In Percent,5/4/18,5/4/18
roae_bnk_fy2,In Percent,5/4/18,5/4/18
prev_roae_bnk_fy0,In Percent,5/4/18,5/4/18
revt_bank_usd,In Millions,5/4/18,5/4/18
ntwc,In Millions,5/4/18,5/4/18
tr_bnk_7yr,In Percent,5/4/18,5/4/18
basel,Not Applicable,5/4/18,5/4/18
acctstd,Not Applicable,5/4/18,5/4/18
oth_adj_gross_loans_bnk,In Millions,5/4/18,5/4/18
ceq_at_bnk,In Millions,5/4/18,5/4/18
xint,In Millions,5/4/18,5/4/18
mcap_start,In Millions,5/4/18,5/4/18
mcap_fye,In Millions,5/4/18,5/4/18
mcap,In Millions,5/4/18,5/4/18
rectr,In Millions,5/4/18,5/4/18
rec_o_m,In Millions,5/4/18,5/4/18
recco,In Millions,5/4/18,5/4/18
icg1y,In Percent,5/4/18,5/4/18
revt_ins,In Millions,5/4/18,5/4/18
cost_income_bank,In Percent,5/4/18,5/4/18
trs1y,In Percent,5/4/18,5/4/18
trs1y_usd,In Percent,5/4/18,5/4/18
ebita_marg,In Percent,5/4/18,5/4/18
ebit_marg,In Percent,5/4/18,5/4/18
prccm_a_adj,In Single Unit,5/4/18,5/4/18
ni_marg,In Percent,5/4/18,5/4/18
re_integ_calc,In Millions,5/4/18,5/4/18
revt_bank,In Millions,5/4/18,5/4/18
trs,In Percent,5/4/18,5/4/18
credit_card_fee,In Millions,5/4/18,5/4/18
net_fc_inc_bnk,In Millions,5/4/18,5/4/18
net_td_inc_bnk,In Millions,5/4/18,5/4/18
other_non_int_inc,In Millions,5/4/18,5/4/18
other_inc_bnk,In Millions,5/4/18,5/4/18
sga_xopro_sale_bnk,In Percent,5/4/18,5/4/18
mb_bnk_cy,Ratio,5/4/18,5/4/18
ebita_taxr_adj,In Percent,5/4/18,5/4/18
ebit_fwd_12m,In Millions,5/4/18,5/4/18
gross_premium_ins,In Millions,5/4/18,5/4/18
ceded_premium_ins,In Millions,5/4/18,5/4/18
net_pi_ins,In Millions,5/4/18,5/4/18
int_div_inc_ins,In Millions,5/4/18,5/4/18
int_exp_ins,In Millions,5/4/18,5/4/18
invt_div_inc_ins,In Millions,5/4/18,5/4/18
net_fc_inc_ins,In Millions,5/4/18,5/4/18
gain_assets_rev_ins,In Millions,5/4/18,5/4/18
gain_invest_rev_ins,In Millions,5/4/18,5/4/18
gain_asset_invest_inc_ins,In Millions,5/4/18,5/4/18
other_inc_ins,In Millions,5/4/18,5/4/18
claims_exp_ins,In Millions,5/4/18,5/4/18
ceded_losses_ins,In Millions,5/4/18,5/4/18
reinsurance_ins,In Millions,5/4/18,5/4/18
ceded_losses_reinsurance_ins,In Millions,5/4/18,5/4/18
net_ph_benefits,In Millions,5/4/18,5/4/18
policy_cost_ins,In Millions,5/4/18,5/4/18
da_suppl_ins,In Millions,5/4/18,5/4/18
sga_bnk_ins,In Millions,5/4/18,5/4/18
sga_ins,In Millions,5/4/18,5/4/18
sga_ins_total,In Millions,5/4/18,5/4/18
prov_bad_debts_ins,In Millions,5/4/18,5/4/18
pll_ins,In Millions,5/4/18,5/4/18
non_ins_rev,In Millions,5/4/18,5/4/18
non_ins_exp,In Millions,5/4/18,5/4/18
other_oper_suppl_ins,In Millions,5/4/18,5/4/18
xopro_ins,In Millions,5/4/18,5/4/18
roa_ins,In Percent,5/4/18,5/4/18
op_exc_equity_inc_ins,In Millions,5/4/18,5/4/18
inc_equity_ins,In Millions,5/4/18,5/4/18
op_equity_ins,In Millions,5/4/18,5/4/18
gw_intan_amort_model_ins,In Millions,5/4/18,5/4/18
gw_intan_amort_ins,In Millions,5/4/18,5/4/18
op_equity_inc_am_ins,In Millions,5/4/18,5/4/18
op_exc_equity_inc_am_ins,In Millions,5/4/18,5/4/18
gain_assets_bnk_ins,In Millions,5/4/18,5/4/18
gain_assets_ins,In Millions,5/4/18,5/4/18
gain_invest_bnk_ins,In Millions,5/4/18,5/4/18
gain_invest_ins,In Millions,5/4/18,5/4/18
asset_writedown_bnk_ins,In Millions,5/4/18,5/4/18
asset_writedown_ins,In Millions,5/4/18,5/4/18
settle_ins,In Millions,5/4/18,5/4/18
legal_settle_bnk_ins,In Millions,5/4/18,5/4/18
legal_settle_ins,In Millions,5/4/18,5/4/18
other_unusual_suppl_bnk_ins,In Millions,5/4/18,5/4/18
other_unusual_suppl_ins,In Millions,5/4/18,5/4/18
nopi_m_ins,In Millions,5/4/18,5/4/18
restructure_bnk_ins,In Millions,5/4/18,5/4/18
restructure_ins,In Millions,5/4/18,5/4/18
merger_bnk_ins,In Millions,5/4/18,5/4/18
merger_ins,In Millions,5/4/18,5/4/18
rcp_ins,In Millions,5/4/18,5/4/18
currency_gain_ins,In Millions,5/4/18,5/4/18
other_non_oper_exp_suppl_ins,In Millions,5/4/18,5/4/18
spi_m_ins,In Millions,5/4/18,5/4/18
mb_cy,In Percent,5/4/18,5/4/18
gross_profit_ins,In Millions,5/4/18,5/4/18
txt_ins,In Millions,5/4/18,5/4/18
mii_ins,In Millions,5/4/18,5/4/18
ib_ins,In Millions,5/4/18,5/4/18
extra_acc_items_ins,In Millions,5/4/18,5/4/18
xido_ins,In Millions,5/4/18,5/4/18
ni_calc_ins,In Millions,5/4/18,5/4/18
cash_equiv_ins,In Millions,5/4/18,5/4/18
invest_debt_ins,In Millions,5/4/18,5/4/18
invest_equity_pref_ins,In Millions,5/4/18,5/4/18
trading_assets_ins,In Millions,5/4/18,5/4/18
real_estate_ins,In Millions,5/4/18,5/4/18
mort_loans_ins,In Millions,5/4/18,5/4/18
policy_loans_ins,In Millions,5/4/18,5/4/18
other_invest_ins,In Millions,5/4/18,5/4/18
ti_ins,In Millions,5/4/18,5/4/18
reinsur_recover_ins,In Millions,5/4/18,5/4/18
def_policy_acq_costs_ins,In Millions,5/4/18,5/4/18
separate_acct_assets_ins,In Millions,5/4/18,5/4/18
ppe_ins,In Millions,5/4/18,5/4/18
other_intan_bnk_ins,In Millions,5/4/18,5/4/18
other_intan_ins,In Millions,5/4/18,5/4/18
def_tax_asset_lt_ins,In Millions,5/4/18,5/4/18
def_tax_asset_lt_current_ins,In Millions,5/4/18,5/4/18
other_receiv_ins,In Millions,5/4/18,5/4/18
mb_adj_ins_cy,In Percent,5/4/18,5/4/18
other_ca_suppl_ins,In Millions,5/4/18,5/4/18
def_charges_lt_ins,In Millions,5/4/18,5/4/18
other_lt_assets_ins,In Millions,5/4/18,5/4/18
ao_ins,In Millions,5/4/18,5/4/18
at_ins,In Millions,5/4/18,5/4/18
ap_bnk_ins,In Millions,5/4/18,5/4/18
ap_ins,In Millions,5/4/18,5/4/18
trust_pref_ins,In Millions,5/4/18,5/4/18
separate_acct_liab_ins,In Millions,5/4/18,5/4/18
ae_bnk_ins,In Millions,5/4/18,5/4/18
ae_ins,In Millions,5/4/18,5/4/18
reinsur_pay_ins,In Millions,5/4/18,5/4/18
current_port_debt_ins,In Millions,5/4/18,5/4/18
st_debt_bnk_ins,In Millions,5/4/18,5/4/18
st_debt_ins,In Millions,5/4/18,5/4/18
lt_debt_ins,In Millions,5/4/18,5/4/18
def_tax_liab_lt_ins,In Millions,5/4/18,5/4/18
def_tax_liab_current_lt_ins,In Millions,5/4/18,5/4/18
pension_ins,In Millions,5/4/18,5/4/18
other_cl_suppl_ins,In Millions,5/4/18,5/4/18
unearn_rev_current_bnk_ins,In Millions,5/4/18,5/4/18
unearn_rev_current_ins,In Millions,5/4/18,5/4/18
other_liab_lt_ins,In Millions,5/4/18,5/4/18
lo_ins,In Millions,5/4/18,5/4/18
ins_annuity_liab,In Millions,5/4/18,5/4/18
mb_fy,In Percent,5/4/18,5/4/18
unpaid_claims_ins,In Millions,5/4/18,5/4/18
unearn_premium_ins,In Millions,5/4/18,5/4/18
rv_ins,In Millions,5/4/18,5/4/18
pref_equity_ins,In Millions,5/4/18,5/4/18
mib_ins,In Millions,5/4/18,5/4/18
common_issued_bnk_ins,In Millions,5/4/18,5/4/18
common_issued_ins,In Millions,5/4/18,5/4/18
common_rep_bnk_ins,In Millions,5/4/18,5/4/18
common_rep_ins,In Millions,5/4/18,5/4/18
embedded_val_group_ins,In Millions,5/4/18,5/4/18
equity_no_intan_ins,In Millions,5/4/18,5/4/18
equity_no_intan_ins_sa2,In Millions,5/4/18,5/4/18
at_sa2_ins,In Millions,5/4/18,5/4/18
pretax_rote_ins,In Percent,5/4/18,5/4/18
net_div_invt_m_ins,In Millions,5/4/18,5/4/18
total_other_inc_ins,In Millions,5/4/18,5/4/18
oper_cost_ins,In Millions,5/4/18,5/4/18
pbt_taxr_ins,In Percent,5/4/18,5/4/18
pbt_taxr_norm_ins,In Percent,5/4/18,5/4/18
roae_ins,In Percent,5/4/18,5/4/18
pretax_roe_sa2_ins,In Percent,5/4/18,5/4/18
rote_sa2_ins,In Percent,5/4/18,5/4/18
pretax_rote_sa2_ins,In Percent,5/4/18,5/4/18
roe_ins,In Percent,5/4/18,5/4/18
pretax_roe_ins,In Percent,5/4/18,5/4/18
rote_ins,In Percent,5/4/18,5/4/18
ceqt_rv_sa2_ins,In Percent,5/4/18,5/4/18
ceq_rv_sa2_ins,In Percent,5/4/18,5/4/18
rvsa2_premium_ins,In Percent,5/4/18,5/4/18
op_premiums_ins,In Percent,5/4/18,5/4/18
rv_premiums_ins,In Percent,5/4/18,5/4/18
net_pi_inc_premiums_ins,In Percent,5/4/18,5/4/18
op_ins,In Millions,5/4/18,5/4/18
ni_premiums_ins,In Percent,5/4/18,5/4/18
net_div_invt_m_premiums_ins,In Percent,5/4/18,5/4/18
total_other_inc_premiums_ins,In Percent,5/4/18,5/4/18
net_fc_inc_premiums_ins,In Percent,5/4/18,5/4/18
other_inc_premiums_ins,In Percent,5/4/18,5/4/18
inc_equity_premiums_ins,In Percent,5/4/18,5/4/18
net_ph_benefits_premiums_ins,In Percent,5/4/18,5/4/18
oper_cost_premiums_ins,In Percent,5/4/18,5/4/18
policy_cost_premiums_ins,In Percent,5/4/18,5/4/18
salary_premiums_ins,In Percent,5/4/18,5/4/18
sga_premiums_ins,In Percent,5/4/18,5/4/18
xopro_premiums_ins,In Percent,5/4/18,5/4/18
dvp_premiums_ins,In Percent,5/4/18,5/4/18
mii_premiums_ins,In Percent,5/4/18,5/4/18
revt_insg1y,In Percent,5/4/18,5/4/18
revt_insg3y,In Percent,5/4/18,5/4/18
revt_insg5y,In Percent,5/4/18,5/4/18
revt_insg7y,In Percent,5/4/18,5/4/18
revt_insg10y,In Percent,5/4/18,5/4/18
revt_insg15y,In Percent,5/4/18,5/4/18
at_insg1y,In Percent,5/4/18,5/4/18
at_insg3y,In Percent,5/4/18,5/4/18
at_insg5y,In Percent,5/4/18,5/4/18
at_insg7y,In Percent,5/4/18,5/4/18
at_insg10y,In Percent,5/4/18,5/4/18
at_insg15y,In Percent,5/4/18,5/4/18
ni_adj_insg1y,In Percent,5/4/18,5/4/18
ni_adj_insg3y,In Percent,5/4/18,5/4/18
ni_adj_insg5y,In Percent,5/4/18,5/4/18
ni_adj_insg7y,In Percent,5/4/18,5/4/18
ni_adj_insg10y,In Percent,5/4/18,5/4/18
ni_adj_insg15y,In Percent,5/4/18,5/4/18
net_pi_insg1y,In Percent,5/4/18,5/4/18
net_pi_insg3y,In Percent,5/4/18,5/4/18
net_pi_insg5y,In Percent,5/4/18,5/4/18
net_pi_insg7y,In Percent,5/4/18,5/4/18
net_pi_insg10y,In Percent,5/4/18,5/4/18
net_pi_insg15y,In Percent,5/4/18,5/4/18
pe_cy_ins,In Percent,5/4/18,5/4/18
pe_fy_ins,In Millions,5/4/18,5/4/18
tcr_sa2_ins,In Percent,5/4/18,5/4/18
ep_ins,In Millions,5/4/18,5/4/18
roa_sa2_ins,In Percent,5/4/18,5/4/18
mb_adj_ins_fy,In Percent,5/4/18,5/4/18
ni_adj_ins_margin,In Millions,5/4/18,5/4/18
ph_div_int_ins,In Millions,5/4/18,5/4/18
policy_benefits_ins,In Millions,5/4/18,5/4/18
xido_bnk_ceq,In Millions,5/4/18,5/4/18
nopi_m_bnk_ceq,In Millions,5/4/18,5/4/18
rcp_bnk_ceq,In Millions,5/4/18,5/4/18
spi_m_bnk_ceq,In Millions,5/4/18,5/4/18
gw_intan_amort_bnk_ceq,In Millions,5/4/18,5/4/18
roe_bridge_tax_adjust_ceq,In Millions,5/4/18,5/4/18
dvp_ceq,In Millions,5/4/18,5/4/18
roe_bridge_avg_equity_adj,In Percent,5/4/18,5/4/18
roe_bridge_gdwl_adjust,In Millions,5/4/18,5/4/18
roe_bridge_intan_adjust,In Millions,5/4/18,5/4/18
roe_unadjusted,In Percent,5/4/18,5/4/18
dvp_mii_at_ins,In Percent,5/4/18,5/4/18
empg1y,In Percent,5/4/18,5/4/18
empg3y,In Percent,5/4/18,5/4/18
empg5y,In Percent,5/4/18,5/4/18
empg7y,In Percent,5/4/18,5/4/18
empg10y,In Percent,5/4/18,5/4/18
empg15y,In Percent,5/4/18,5/4/18
icg5y,In Percent,5/4/18,5/4/18
icg7y,In Percent,5/4/18,5/4/18
icg10y,In Percent,5/4/18,5/4/18
icg15y,In Percent,5/4/18,5/4/18
ic_gwg1y,In Percent,5/4/18,5/4/18
ic_gwg3y,In Percent,5/4/18,5/4/18
ic_gwg5y,In Percent,5/4/18,5/4/18
ic_gwg7y,In Percent,5/4/18,5/4/18
ic_gwg10y,In Percent,5/4/18,5/4/18
ic_gwg15y,In Percent,5/4/18,5/4/18
equity_charge,Absolute,5/4/18,5/4/18
brok_comission_bnk2,In Millions,5/4/18,5/4/18
asset_mgmt_fee_bnk2,In Millions,5/4/18,5/4/18
invt_banking_fee_bnk2,In Millions,5/4/18,5/4/18
comiss_fees_bnk2,In Millions,5/4/18,5/4/18
mort_banking_fee_bnk2,In Millions,5/4/18,5/4/18
loan_service_rev_bnk2,In Millions,5/4/18,5/4/18
trade_principal_bnk2,In Millions,5/4/18,5/4/18
revt_mck,In Millions,5/4/18,5/4/18
revt_mck_usd,In Millions,5/4/18,5/4/18
mtaxr_a_cap,In Percent,5/4/18,5/4/18
nev_ebita_fy1,Ratio,5/4/18,5/4/18
ni_adj_ins,In Millions,5/4/18,5/4/18
revt_aff_ins,In Millions,5/4/18,5/4/18